time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/loss,train/value_loss
1,0,27,25,500,0.0003,-8.26783046722412,0.2439999908208847,0.18789947032928467,0.2,0.05234773,-0.0814964960701758,0.5626153945922852,1.9652494311332702
2,2,24,50,510,0.0003,-8.161338615417481,0.23999999687075615,-0.06180286407470703,0.2,0.039488986,-0.0572996359877294,4.689342975616455,11.14771490097046
3,3,23,75,520,0.0003,-7.936930990219116,0.4199999935925007,-0.4717625379562378,0.2,0.10030225,-0.09664535413682458,-0.0169295072555542,0.350279775261879
4,4,22,100,530,0.0003,-7.597894239425659,0.27999999076128007,-0.05915522575378418,0.2,0.052034922,0.009100368413026416,7.532355308532715,15.931100177764893
5,5,21,125,540,0.0003,-7.623221683502197,0.13599999770522117,0.19928139448165894,0.2,0.026156094,-0.04545998806133866,0.8078467845916748,2.1308868169784545
6,7,20,150,550,0.0003,-7.1628162384033205,0.4239999890327454,-0.06334757804870605,0.2,0.084834024,-0.08537263043969875,0.27327239513397217,1.0762451231479644
7,8,19,175,560,0.0003,-7.501747083663941,0.21199999302625655,-0.021236419677734375,0.2,0.0386462,-0.07257618307694784,0.5115141868591309,1.742161798477173
8,10,18,200,570,0.0003,-7.330966901779175,0.1879999965429306,-0.9835281372070312,0.2,0.03850487,-0.06571474327333249,0.7153958082199097,2.2673850774765016
9,12,18,225,580,0.0003,-6.708680200576782,0.35999998524785043,-0.051804423332214355,0.2,0.07550045,-0.09093651319295155,0.08831086754798889,0.4610590636730194
10,14,17,250,590,0.0003,-6.811814451217652,0.06399999856948853,-0.009160757064819336,0.2,0.013153911,-0.03667497821897285,7.018518447875977,14.597669506072998
1,1,20,25,600,0.0003,-7.008600044250488,0.403999987244606,-0.18088626861572266,0.2,0.094451904,-0.08097254419326774,0.07024101912975311,0.47111205458641053
2,2,18,50,610,0.0003,-7.180844640731811,0.09199999719858169,-0.7953222990036011,0.2,0.01629036,-0.026863104678690776,2.3487303256988525,5.39825668334961
3,4,16,75,620,0.0003,-7.194725179672242,0.243999994546175,-0.3065389394760132,0.2,0.04653932,-0.05252407466992679,0.295371413230896,0.8072744369506836
4,5,16,100,630,0.0003,-7.192157840728759,0.0559999980032444,-0.0476078987121582,0.2,0.013974786,-0.038204528253525535,5.372032642364502,11.198641395568847
5,7,16,125,640,0.0003,-7.56039867401123,0.27199999541044234,0.11588472127914429,0.2,0.061782174,-0.06626840390265017,0.059669360518455505,0.391731995344162
6,9,16,150,650,0.0003,-7.413394165039063,0.09999999776482582,-0.1185992956161499,0.2,0.02089176,-0.032528220420703316,1.7479760646820068,4.1632335662841795
7,11,14,175,660,0.0003,-7.3166430473327635,0.31599999889731406,-0.3669825792312622,0.2,0.071749926,-0.08799676606059066,0.010834842920303345,0.30107604563236234
8,14,14,200,670,0.0003,-7.110065078735351,0.03999999910593033,0.013707101345062256,0.2,0.008426809,-0.016069253226741863,4.109865188598633,8.609267330169677
9,15,14,225,680,0.0003,-6.291461324691772,0.13199999704957008,-0.11139512062072754,0.2,0.028374642,-0.06331661630422047,0.4654979109764099,1.3956372499465943
10,17,13,250,690,0.0003,-7.553049182891845,0.23199999257922171,0.04367220401763916,0.2,0.04272275,-0.06115233778953524,0.4385221600532532,1.1319486141204833
1,1,15,25,700,0.0003,-6.50498685836792,0.16799999698996543,0.1876603364944458,0.2,0.03406316,-0.07049232955649529,0.834291934967041,2.0387900352478026
2,4,12,50,710,0.0003,-7.262834167480468,0.3759999930858612,-0.14784550666809082,0.2,0.09825107,-0.0872868041470646,-0.06741517037153244,0.14895198345184327
