,assets,cash,equity
8565,13,-2593.297499999999,5.402500000001055
8566,13,-2593.297499999999,4.752500000000964
8567,13,-2593.297499999999,5.402500000001055
8568,13,-2593.297499999999,6.052500000000691
8569,13,-2593.297499999999,5.402500000001055
8570,13,-2593.297499999999,3.452500000000782
8571,13,-2593.297499999999,3.452500000000782
8572,13,-2593.297499999999,4.102500000000873
8573,13,-2593.297499999999,2.802500000000691
8574,13,-2593.297499999999,2.802500000000691
8575,13,-2593.297499999999,0.8525000000008731
8576,13,-2593.297499999999,-3.047499999999218
8577,17,-3390.097499999999,-2.847499999998945
8578,17,-3390.097499999999,-4.547499999999218
8579,17,-3390.097499999999,-4.547499999999218
8580,17,-3390.097499999999,-6.247499999998581
8581,17,-3390.097499999999,-9.647499999998672
8582,17,-3390.097499999999,-12.197499999999309
8583,17,-3390.097499999999,-16.44749999999931
8584,17,-3390.097499999999,-16.44749999999931
8585,17,-3390.097499999999,-16.44749999999931
8586,17,-3390.097499999999,-16.44749999999931
8587,17,-3390.097499999999,-18.99749999999858
8588,17,-3390.097499999999,-19.847499999998945
8589,17,-3390.097499999999,-19.847499999998945
8590,17,-3390.097499999999,-19.847499999998945
8591,17,-3390.097499999999,-19.847499999998945
8592,17,-3390.097499999999,-19.847499999998945
8593,17,-3390.097499999999,-23.24749999999858
8594,7,-1410.7974999999988,-26.8974999999989
8595,7,-1410.7974999999988,-28.99749999999881
8596,7,-1410.7974999999988,-27.947499999998627
8597,7,-1410.7974999999988,-27.947499999998627
8598,7,-1410.7974999999988,-27.947499999998627
8599,7,-1410.7974999999988,-27.247499999999036
8600,7,-1410.7974999999988,-27.247499999999036
8601,7,-1410.7974999999988,-27.24749999999881
8602,7,-1410.7974999999988,-26.8974999999989
8603,7,-1410.7974999999988,-25.84749999999849
8604,7,-1410.7974999999988,-28.6474999999989
8605,7,-1410.7974999999988,-27.597499999998718
8606,7,-1410.7974999999988,-27.247499999999036
8607,7,-1410.7974999999988,-27.24749999999881
8608,7,-1410.7974999999988,-26.8974999999989
8609,7,-1410.7974999999988,-28.297499999998763
8610,7,-1410.7974999999988,-27.947499999998627
8611,7,-1410.7974999999988,-27.947499999998627
8612,7,-1410.7974999999988,-26.547499999998763
8613,7,-1410.7974999999988,-29.34749999999849
8614,7,-1410.7974999999988,-27.947499999998627
8615,7,-1410.7974999999988,-27.947499999998627
8616,7,-1410.7974999999988,-27.947499999998627
8617,7,-1410.7974999999988,-28.6474999999989
8618,7,-1410.7974999999988,-27.247499999999036
8619,7,-1410.7974999999988,-26.8974999999989
8620,7,-1410.7974999999988,-25.497499999999036
8621,7,-1410.7974999999988,-25.1474999999989
8622,7,-1410.7974999999988,-24.447499999998627
8623,-2,373.9025000000013,-21.69749999999874
8624,-2,373.9025000000013,-21.69749999999874
8625,-2,373.9025000000013,-21.297499999998706
8626,-2,373.9025000000013,-21.297499999998763
8627,-2,373.9025000000013,-21.797499999998706
8628,-2,373.9025000000013,-21.89749999999873
8629,-2,373.9025000000013,-21.69749999999874
8630,-2,373.9025000000013,-21.797499999998706
8631,-2,373.9025000000013,-22.097499999998718
8632,-2,373.9025000000013,-21.89749999999873
8633,-2,373.9025000000013,-22.297499999998763
8634,-2,373.9025000000013,-21.997499999998695
8635,-2,373.9025000000013,-21.797499999998763
8636,-2,373.9025000000013,-21.89749999999873
8637,-2,373.9025000000013,-21.89749999999873
8638,-2,373.9025000000013,-22.097499999998718
8639,-2,373.9025000000013,-21.997499999998695
8640,-2,373.9025000000013,-21.997499999998695
8641,0,-21.69749999999874,-21.69749999999874
8642,0,-21.69749999999874,-21.69749999999874
8643,0,-21.69749999999874,-21.69749999999874
8644,0,-21.69749999999874,-21.69749999999874
8645,0,-21.69749999999874,-21.69749999999874
8646,0,-21.69749999999874,-21.69749999999874
8647,-10,1960.3025000000011,-21.197499999998854
8648,-10,1960.3025000000011,-20.697499999998854
8649,-10,1960.3025000000011,-20.697499999998854
8650,-10,1960.3025000000011,-22.197499999998854
8651,-10,1960.3025000000011,-20.197499999998854
8652,-10,1960.3025000000011,-20.197499999998854
8653,0,-19.697499999998854,-19.697499999998854
8654,0,-19.697499999998854,-19.697499999998854
8655,0,-19.697499999998854,-19.697499999998854
8656,0,-19.697499999998854,-19.697499999998854
8657,0,-19.697499999998854,-19.697499999998854
8658,0,-19.697499999998854,-19.697499999998854
8659,0,-19.697499999998854,-19.697499999998854
8660,0,-19.697499999998854,-19.697499999998854
8661,0,-19.697499999998854,-19.697499999998854
8662,0,-19.697499999998854,-19.697499999998854
8663,0,-19.697499999998854,-19.697499999998854
8664,0,-19.697499999998854,-19.697499999998854
8665,0,-19.697499999998854,-19.697499999998854
8666,0,-19.697499999998854,-19.697499999998854
8667,0,-19.697499999998854,-19.697499999998854
8668,0,-19.697499999998854,-19.697499999998854
8669,0,-19.697499999998854,-19.697499999998854
8670,0,-19.697499999998854,-19.697499999998854
8671,0,-19.697499999998854,-19.697499999998854
8672,0,-19.697499999998854,-19.697499999998854
8673,0,-19.697499999998854,-19.697499999998854
8674,9,-1794.497499999999,-16.54749999999899
8675,9,-1794.497499999999,-16.54749999999899
8676,9,-1794.497499999999,-17.44749999999908
8677,9,-1794.497499999999,-17.44749999999908
8678,9,-1794.497499999999,-17.44749999999908
8679,9,-1794.497499999999,-18.347499999999172
8680,9,-1794.497499999999,-18.79749999999899
8681,9,-1794.497499999999,-18.79749999999899
8682,9,-1794.497499999999,-18.347499999998945
8683,9,-1794.497499999999,-18.79749999999899
8684,9,-1794.497499999999,-17.44749999999908
8685,9,-1794.497499999999,-18.347499999998945
8686,9,-1794.497499999999,-19.247499999999036
8687,9,-1794.497499999999,-18.347499999998945
8688,9,-1794.497499999999,-16.997499999999036
