time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_fraction,train/loss
200,8,20,9,-0.379244801402092,0.9045563220977784,29770,-0.005297001211437902,0.2,0.0064759967,0.0003,0.24892032146453857,0.019999999552965164,0.34286367893218994
225,9,19,11,-0.4756377309560776,1.1056597650051116,29780,-0.0008724469988372618,0.2,0.0025104976,0.0003,-0.21225452423095703,0.007999999821186066,0.4269876182079315
250,10,18,13,-0.4447261244058609,6.306981325149536,29790,-0.0004406869294690807,0.2,0.00028035403,0.0003,-0.07233309745788574,0.0,2.956284523010254
25,1,25,0,-0.15891576558351517,0.41950042843818663,29800,-0.005088163189589956,0.2,0.05132405,0.0003,0.23727786540985107,0.031999999284744264,0.18526729941368103
50,2,22,2,-0.4018597364425659,0.6186506569385528,29810,-0.008752035355195531,0.2,0.080095015,0.0003,-0.10556924343109131,0.05199999883770943,0.26848194003105164
75,3,21,3,-0.3036861389875412,0.3120572417974472,29820,-0.005045012718532149,0.2,0.022662072,0.0003,-0.14433538913726807,0.02799999937415123,0.14335690438747406
100,4,21,4,-0.04574529640376568,3.310319256782532,29830,-0.003965504833497136,0.2,0.002235663,0.0003,-0.40313613414764404,0.015999999642372132,1.5676897764205933
125,5,21,5,-0.3778138101100922,1.8095144510269165,29840,-0.006846940432209436,0.2,0.005592487,0.0003,-2.666438341140747,0.019999999552965164,0.8022238612174988
150,6,20,7,-0.3435045450925827,3.7219794511795046,29850,-0.004924599705496746,0.2,0.002784233,0.0003,0.44996029138565063,0.015999999642372132,1.64922034740448
175,7,20,8,-0.13047717735171319,0.5669625550508499,29860,-0.0029444386236718856,0.2,0.0021643185,0.0003,-0.323947548866272,0.011999999731779098,0.21935011446475983
200,8,19,10,-0.49691031575202943,0.37723595201969146,29870,-0.000586000429757405,0.2,0.0014921641,0.0003,0.0011557936668395996,0.011999999731779098,0.18261687457561493
225,9,18,11,-1.037864077091217,1.3586090445518493,29880,-0.02405714437738027,0.2,0.117606066,0.0003,-0.004004240036010742,0.09999999776482582,0.6031433939933777
250,10,18,13,-0.08628525659441948,0.9859611034393311,29890,-0.0016682697122448076,0.2,0.00018762826,0.0003,-2.140481948852539,0.0,0.3944118916988373
25,1,23,1,-0.21610289812088013,0.8700768887996674,29900,-0.00804700980428521,0.2,0.017686145,0.0003,-1.072450876235962,0.02799999937415123,0.3659440577030182
50,2,21,2,-0.07301818132400513,12.983507251739502,29910,-0.00014690827910257553,0.2,1.0967254e-06,0.0003,0.3671436309814453,0.0,6.1074628829956055
75,3,21,3,-0.004223519703373313,12.53275270462036,29920,-4.2438504799235945e-08,0.2,-1.1920928e-08,0.0003,0.29089510440826416,0.0,3.934269666671753
100,4,21,4,-0.35010493397712705,0.9732257962226868,29930,-0.0038840558486990416,0.2,0.008766592,0.0003,0.7961004674434662,0.023999999463558196,0.4456571340560913
125,5,20,5,-0.03572241999208927,3.464714288711548,29940,3.404593416052037e-05,0.2,8.8214875e-08,0.0003,-2.2576842308044434,0.0,1.5043941736221313
150,6,20,7,-0.5457524955272675,0.4679955989122391,29950,-0.028810694135725436,0.2,0.03946372,0.0003,0.3095701336860657,0.09199999794363975,0.19022783637046814
175,7,20,8,-0.27373935729265214,2.3897363424301146,29960,-0.0001386759243322544,0.2,0.00047461985,0.0003,0.07121670246124268,0.0,1.126659631729126
200,8,19,10,-0.0558885246515274,0.37426324784755705,29970,-1.822876890766878e-05,0.2,2.2745132e-06,0.0003,-0.12855994701385498,0.0,0.17986685037612915
225,9,18,11,-0.04453008137643337,3.907378339767456,29980,-0.004090784059954444,0.2,0.0009470796,0.0003,0.39708662033081055,0.003999999910593033,1.8360811471939087
250,10,18,13,-0.009768320061266423,0.4479617476463318,29990,-1.3278960913254424e-05,0.2,1.1920928e-08,0.0003,0.5965281128883362,0.0,0.21034160256385803
25,1,25,0,-0.16309779435396193,2.042385196685791,30000,-0.011295906173531023,0.2,0.0039151167,0.0003,-0.18150877952575684,0.015999999642372132,0.8725587129592896
50,2,23,2,-1.4078518509864808,0.4209282696247101,30010,-0.01694134560972458,0.2,0.027527394,0.0003,0.7700716406106949,0.09199999794363975,0.1760786771774292
75,3,22,3,-0.027569269202649592,1.824112558364868,30020,-0.00013620710044079943,0.2,2.298355e-06,0.0003,0.4820671081542969,0.0,0.8060108423233032
100,4,21,4,-0.3936698973178864,0.21911419481039046,30030,-0.010809388267807663,0.2,0.007898011,0.0003,0.1449795961380005,0.031999999284744264,0.08166010677814484
125,5,20,6,-0.5736378192901611,3.4992690324783324,30040,-0.006644149653613596,0.2,0.4153762,0.0003,0.1177709698677063,0.07199999839067459,1.6174418926239014
150,6,20,7,-0.26907899379730227,5.0132307529449465,30050,-0.013352878436446147,0.2,0.23919925,0.0003,0.04344832897186279,0.03599999919533729,2.3176329135894775
175,7,19,8,-0.1299201786518097,2.0163679242134096,30060,-0.001103267273981956,0.2,0.0016145944,0.0003,-0.018989205360412598,0.011999999731779098,0.8951776623725891
200,8,19,10,-0.2795365899801254,0.9014857411384583,30070,-0.00396641766605903,0.2,0.015363256,0.0003,0.15106135606765747,0.023999999463558196,0.43612247705459595
225,9,18,12,-0.010593407228589058,2.0162583589553833,30080,-4.244327434577144e-06,0.2,0.0,0.0003,0.7936960905790329,0.0,0.976967990398407
250,10,17,14,-0.30791632235050204,1.7091993808746337,30090,-0.013720634819939903,0.2,0.014817528,0.0003,0.6981942057609558,0.03999999910593033,0.7696557641029358
25,1,21,1,-0.03905584588646889,1.3133668661117555,30100,0.0003828906909330243,0.2,1.1825562e-06,0.0003,0.38031238317489624,0.0,0.616554856300354
50,2,21,2,-0.3610771358013153,1.047571164369583,30110,-0.005281008817254929,0.2,0.10077373,0.0003,0.5260530412197113,0.031999999284744264,0.517063558101654
75,3,19,3,-0.09278173446655273,0.2186436876654625,30120,-0.0014999913786814644,0.2,0.004709134,0.0003,0.5326330661773682,0.019999999552965164,0.0960216298699379
100,4,19,5,-0.02171792685985565,14.448376178741455,30130,-5.167865605848476e-05,0.2,8.4400176e-07,0.0003,-2.5148632526397705,0.0,6.802474498748779
125,5,18,6,-0.02144555002450943,0.4200847685337067,30140,-0.010517666565254302,0.2,0.009278602,0.0003,0.009405255317687988,0.02799999937415123,0.17506082355976105
150,6,18,8,-0.08328947871923446,0.4037341564893723,30150,-1.3756036496559432e-05,0.2,4.2605398e-06,0.0003,0.0011785030364990234,0.0,0.1789483278989792
175,7,17,9,-0.25723432898521426,0.4593505680561066,30160,-0.018028729785233823,0.2,0.119494624,0.0003,-0.5369389057159424,0.05599999874830246,0.1886184811592102
200,8,17,11,-0.053764966502785685,0.40913558900356295,30170,-0.010474269539118097,0.2,0.008916976,0.0003,0.6496846675872803,0.019999999552965164,0.12991730868816376
225,9,16,13,-0.06440824568271637,1.8812263131141662,30180,-0.007179470084608397,0.2,0.00077754975,0.0003,-0.05922961235046387,0.003999999910593033,0.7117183208465576
250,10,16,15,-0.17481742799282074,3.831834602355957,30190,-0.00861070971004665,0.2,0.02294702,0.0003,-4.167006015777588,0.031999999284744264,1.6551488637924194
25,1,22,1,-0.11962817460298539,3.0177048444747925,30200,-0.0003074458623459009,0.2,7.867098e-05,0.0003,-1.3514890670776367,0.0,1.3175333738327026
50,2,22,2,-0.015551974717527627,0.9274796724319458,30210,-5.1932334031334905e-06,0.2,-1.1920928e-08,0.0003,-0.5314223766326904,0.0,0.37988942861557007
75,3,20,3,-0.36561633348464967,0.7581743001937866,30220,-0.02336013754084689,0.2,0.10265442,0.0003,0.5722237825393677,0.05199999883770943,0.3385227620601654
100,4,20,4,-0.14585060328245164,6.122992658615113,30230,-0.0013948404433904217,0.2,0.0014012217,0.0003,0.12010699510574341,0.003999999910593033,2.8506650924682617
125,5,19,6,-0.04831712432205677,7.021890354156494,30240,-0.005074631304945854,0.2,0.003395896,0.0003,0.23939698934555054,0.019999999552965164,3.253835439682007
150,6,18,8,-0.0450139258056879,3.1310341596603393,30250,-0.006748661859892735,0.2,0.01311548,0.0003,-0.04570162296295166,0.02799999937415123,1.445556879043579
175,7,17,9,-0.0238413630053401,4.339569830894471,30260,6.783831046064392e-05,0.2,7.390976e-07,0.0003,0.2779839038848877,0.0,1.926934838294983
200,8,17,11,-0.007821426447480916,6.371440792083741,30270,1.0902881385277396e-06,0.2,0.0,0.0003,-1.3413219451904297,0.0,3.180910348892212
